address,name,symbol,uri,description,image,createdOn
woLfjy1RzfvjLNC1AEEqafx1Q3bPDUU3QW6kmBYQjP4,Swaggy Wolfdog,swaggy,https://arweave.net/jTrDuzoO0DdUSshewoH75H6m7PQh_o8eOO44zPfPVjs,,https://photos.pinksale.finance/file/pinksale-logo-upload/1730237398943-eb8203ab7940b7a58cc5662a2f38c2b6.jpg,
27vMFjJerzLd5iZX2tRWL4eHUTr5Lfh5YWdakU3Zpump,Dogseus Maximus,DOG,https://ipfs.io/ipfs/QmUzNB3MFUDbNFX2qTiYzSmkoAS26C5Gw6sqtZR6cbCoUU,"I guess AI is cool, but what about AI dogs?",https://ipfs.io/ipfs/QmPgkC1YkYpCK8r8k9dVsvpZHJW1nPBrZj6p7QCJnAVWX5,https://pump.fun
82SP62Q6VL8Tuy5akaNVicvfJVgwDtjL7JqyBhcKpump,PIXEL,PIXEL,https://ipfs.io/ipfs/QmZLtMNXjRRovYMrw6U66joorZi1o4uikbLbyfXgWYYHtQ,"place pixels to make drawings, get noticed by an ai agent who analyzes the canvas, and earn rewards from the prize pool",https://ipfs.io/ipfs/QmUDG2c3jevTb7Jm2eQ6khNMx8ghbUmVKrZk6Gtit9HbXL,https://pump.fun
2JDLb2xUq1pmQs5RhY8Kdbnpq6CJDg9ePhWPGqAz4VsA,LEDKWAN,LEDKWAN,https://ipfs.io/ipfs/QmaA6F1619aR9AEYq6HehqjtRDX6KCoAD9sezPtiJVvmdD,"LEDKWAN is on the wire: one token - a million opportunities. Start small, conquer the world!",https://ipfs.io/ipfs/QmYMq4N9NxGRATS5fLLxioym672PJykYvVwtCPz41g8oES,https://pump.fun
kZUE7SQmwBuxSLoGrpjVmFoNj5tc3KTTawHVVqRbsgJ,Nerocity AI,NerocityAI,https://ipfs.io/ipfs/QmYHwZhd5B3Ea9twyobZmA5uJttEEz8LJZaw9D3eJUkBie,"Nerocity is a platform built on the Solana blockchain that enables the creation and deployment of autonomous AI agents. As a decentralized launchpad, it allows creators to quickly deploy AI agents capable of interacting with users on Telegram and X.",https://ipfs.io/ipfs/Qmb3tSJg1VD4YSPjQmqFpd5rcCzFnxqqSdFy78TSgWeBDD,https://pump.fun
464BiM6XdZQS2sGRbNWzxXmuA8prhnGk3ejPYGWWpump,Karin,KARIN,https://cf-ipfs.com/ipfs/QmdngWitFmTRrMqNHHJJgDsH73reVbTU8x1fnTyo15h4pr,KARIN is a smart cat with an IQ of 1 Sol. She also happens to be the cat of one of our devs.,https://cf-ipfs.com/ipfs/QmPojajru33XVML4kFYSACb5f9mh2avNGi34cuS3HPHytq,https://pump.fun
3mp1MN5v7zdGXTvvcC9zUMoszMrh9pNdaCDkAQKc7Fec,SolSpend,SPEND,https://bafkreiee4afxw7jts4ccaqyk2g3exppkf5ru7u7hnusu7pq4qi62ataaze.ipfs.nftstorage.link,"SolSpend is the first Non-KYC off ramp on Solana that offers a wide variety of worldwide retailers via giftcards as well as prepaid Mastercard and Visa cards. That allows users to pay direct with Solana, while rewarding $SPEND Holders with the majority of the total revenue generated. https://t.me/SolSpend_Portal www.SolSpend.Io",https://bafkreic4r56jg7fvkthkfzmmfy2z6ypfltqgowjvs44ghf32nh2nz77tva.ipfs.nftstorage.link,
ofsinUMmSstBK436p4sw62vbkYwWcjPR7o5GJ2dpump,Taped Banana,TBN,https://ipfs.io/ipfs/QmZsutGPB7pEaCBqaVa42Qmp78sWKWWTsvDzznXA5BP76Z,"The Taped Banana coin is a whimsical cryptocurrency inspired by the art world’s boldness and humor. Its name pays homage to the iconic “banana taped to a wall” artwork, symbolizing the intersection of absurdity and value. TBN is designed to challenge the notion of conventional worth, blending humor with a robust blockchain utility.",https://ipfs.io/ipfs/QmdxJz9QCNve35wVGEepxvqjTZFyxCPrwWqBQtgffSVJGz,https://pump.fun
7zva5pF1FMdAtvxmbewEAiGBDYmVfF4NtMeFQ3oopump,Free Popeye,POPEYE,https://ipfs.io/ipfs/QmTdpkiKyHufLkpEFxZHzqvHGFXkKyodBTrURjUsc4PjM8,"Popeye can punch without permission from 1 Jan 2025 ⚓️The classic comic character who first appeared in 1929 is the latest IP to becoming public domain in the United States That means he can be used and repurposed without permission or payment to copyright holders#FREEPOPEYE",https://ipfs.io/ipfs/QmX1yDSL2YEAzJ7NxDMSG8yCCeDgJwq5P1EAVUKGSH1CSJ,https://pump.fun
FLayaUPfFxmC1Vz3i4ebKT9uwEVv4ribyCqENnQ9pump,AMERICAN MASCOT,EAGLE,https://ipfs.io/ipfs/QmTonTZDjV9486y5kmWUp2zQUPWA4DyaiHfzeFPZstybxK,Official mascot of the USA,https://ipfs.io/ipfs/QmeEfDDANoBathGhdSHXe85P2TpsNvo8tX6HAvgML2EBHS,https://pump.fun
ATXLBSHc1hbScScFQiogG8kLvfki9Ngecdh5Qzsmpump,First launch of 2025,Thuraya,https://ipfs.io/ipfs/QmSPYxc871KsMHbJnvGfeFFjdBNym7LnKNPrD7GimtHvQ5,,https://ipfs.io/ipfs/Qmf1nKZuzueTo3pCaooLLpueDcSn9sbK3HaQHfwZTiKiXY,https://pump.fun
CmRWGQAdDgDb7dPyDqUZNagLg2s4hn9tUeEiyFfiQgjZ,SUI DEPIN,SUIDEPIN,https://cloudflare-ipfs.com/ipfs/QmSzAXXav4iBagPNQ7Lhse7xVscrRCphSwDA1WWFfonUgq,Modular AI Data Network,https://cloudflare-ipfs.com/ipfs/QmRuuDA4m3jDKncY5FPhaSJGWgDeLfWKXTgdVj7LG71Bbr,
Uy4X7cRHHEiMNnM4gkZBjy9Sz6tMtBUueMKTcczpump,YEEZYIUS MAXIMUS,YEEZYIUS,https://ipfs.io/ipfs/QmRRsFXabpzsDCbZKedJbasBSArDbJ6Yiv5zDbT8p6xZsB,YEEZY TAUGHT ME,https://ipfs.io/ipfs/QmZ3qtfnuXqz7b9QjgA7Qm68tnnJSabBdyQGvvuthy4UKH,https://pump.fun
FS66v5XYtJAFo14LiPz5HT93EUMAHmYipCfQhLpU4ss8,Smog,SMOG,https://cloudflare-ipfs.com/ipfs/QmVas1L6krA5WiDd2e5QGVfVjNdkMiXv2SXRTP7SoKnfzL,One memecoin to rule them all!,https://cloudflare-ipfs.com/ipfs/QmXXiyBNz4PWiP73JicWvQBPvsKJG2uwsvF5obyNvUvL9h,
BPBd426NGmdMdvks7vyqkVmVzyhMFS1xT5DQDFvKpump,LesMiserables,LesMi,https://ipfs.io/ipfs/QmeqFtQpRgbS2SxaxYA4mJrUm2b7MDoYUdyFk6X9FY66oA,"We, revolution begins 'Join' now.",https://ipfs.io/ipfs/QmP38weyevPK1g4EyDmAi6Kin1H1aZBokmH81TjiWHiq38,https://pump.fun
