exchangeAddress,exchangeName,exchangeLogo,pairAddress,pairLabel,usdPrice,usdPrice24hrPercentChange,usdPrice24hrUsdChange,volume24hrNative,volume24hrUsd,liquidityUsd,baseToken,quoteToken,inactivePair,token0_address,token0_name,token0_symbol,token0_logo,token0_decimals,token0_pairTokenType,token0_liquidityUsd,token1_address,token1_name,token1_symbol,token1_logo,token1_decimals,token1_pairTokenType,token1_liquidityUsd
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium AMM v4,https://entities-logos.s3.amazonaws.com/raydium.png,AWcXGpmBGvhyZgWE4rEfSTFoDgHHrHa12fhyjqBvqeUL,Luigi/SOL,0.000553934,10.477903781028234,5.2535999999999946e-05,12.328966936,2352.149090605,261575.451878378,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,False,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,130930.425411269,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,130645.026467109
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium CLMM,https://entities-logos.s3.amazonaws.com/raydium.png,4iGJGy9rUUkFxQV9zzw7ZkTNdwRCfUJway7MT4nREHWD,Luigi/SOL,0.013857858,,,0.0,0.0,65945.500867245,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,65945.139508121,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,0.361359124
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium CLMM,https://entities-logos.s3.amazonaws.com/raydium.png,3VWyaHv7ecoDRpX4bRZgv4wneYBBvmuN9D24hSJu9UrW,Luigi/SOL,0.000540344,9.558577537352933,4.714300000000003e-05,0.342061474,66.125004778,43725.070886395,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,False,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,36212.815720273,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,7512.255166122
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,https://entities-logos.s3.amazonaws.com/meteora.png,pXmN4FbdR5qhTvjEqBK1KtpQaUnvE4zr75EaimHmDdd,Luigi/USDC,0.005728,,,0.0,0.0,9105.202333,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,6474.369288,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,https://logo.moralis.io/solana-mainnet_EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v_809d0dcb3d691dcff4b688115e11652c.webp,6,token1,2630.833045
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,https://entities-logos.s3.amazonaws.com/meteora.png,8zmmPzmQfKiWPpKdUfVrbaYakDoQWbkShZvqccfDKhZV,Luigi/SOL,0.000512861,0.0,0.0,0.112205521,21.433446629,5301.398787179,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,False,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,1310.072528618,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,3991.326258561
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,https://entities-logos.s3.amazonaws.com/meteora.png,9Kmz9uQRBpmtQXoqG57Z6koHEvr81bTrE5ZBwo2CK85J,Luigi/SOL,0.000824518,,,0.0,0.0,3625.703240995,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,3545.111457849,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,80.591783146
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,https://entities-logos.s3.amazonaws.com/meteora.png,51r53WJdVrPXaz3A5u3XwZDkqEETMMa3qTb7gjSnsxf7,Luigi/SOL,0.002464385,,,0.0,0.0,1502.252130132,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,804.418722288,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,697.833407844
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,Orca Whirlpool,https://entities-logos.s3.amazonaws.com/orca.png,HnCm8tcVz7BHkjYD6nFvmtsTaYGo5RcQrWtPP3ARCmJU,Luigi/SOL,0.002073149,,,0.0,0.0,516.127378462,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,260.266583876,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,255.860794586
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,https://entities-logos.s3.amazonaws.com/meteora.png,F4NUMPaJxVscNtGRDcQPDCnF2gmZPVUSMr4ubGsJTVNE,Luigi/SOL,0.008767921,,,0.0,0.0,499.88410865180475,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,496.15616079278067,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,3.7279478590241015
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,Raydium CPMM,https://entities-logos.s3.amazonaws.com/raydium.png,3dELTShf3FdXY85MXZSTXgJwEpqrLnJvunf1nExYX3HK,Luigi/SOL,0.000562801,,,0.0,0.0,175.091695346,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,So11111111111111111111111111111111111111112,True,5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump,Luigi Mangione,Luigi,https://logo.moralis.io/solana-mainnet_5XyKkFaJpAmsH4Tf2EFj3S61W3hC5cJhxNZQQ5h1pump_f5c8f2fe9e181c1b.webp,6,token0,87.545847673,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,https://logo.moralis.io/solana-mainnet_So11111111111111111111111111111111111111112_5ffe40a76ba4f2a8.webp,9,token1,87.545847673
