address,decimals,name,fdv,price24hChangePercent,marketcap,rank,logoURI,volume24hChangePercent,liquidity,price,volume24hUSD,ts,symbol
HonGuNXoyM1h6TMd1WYC4a1Q6JM6PLmFJtwXuWMdJiPt,2,OINKHUNTA,142913.7115937441,4.246515383534714,142913.7115937441,1000,https://bafkreiczvt44de2gtpwzjbylmy3fsjowplxol3do56syxuvawta5gwcqhe.ipfs.nftstorage.link,-29.981712738064765,11823.211120957767,1.4291614271401699e-09,108.63381070901514,1741183201,HUNT
EdGGYb1MiE5srXVV4fEdfMyPGVQu83xcFehcEAaapump,6,LentCoin,11005.647185943451,92.56180427117916,11005.647185943451,999,https://ipfs.io/ipfs/QmP9HnsxoopTG7gxLY1jnN18Ztcxw9UJSLomJvQnvUJd9X,,8992.929003487498,1.1037310815783462e-05,3609.6638170652313,1741183201,40Days
HKJHsYJHMVK5VRyHHk5GhvzY9tBAAtPvDkZfDH6RLDTd,9,READY!,5139076.40234701,9.252679779088727,5139076.40234701,998,https://cdn.bravoready.com/token/READY!-coin-logo-256x256.png,-51.388284369179495,88010.98764930722,0.005139088908174455,7465.347082027651,1741183201,READY
UGYkQ1FjWDEZhL8Sgqh1KwgKFgnHkHJqWWWtewDk6t4,3,Kybchain,315682.78389274795,9.075323096630317,315682.78389274795,997,https://nftstorage.link/ipfs/bafkreidstb5gi3yklcvt736fosfjapgrj6jswg5cbygstdpmpzth6xg6ma,29.727575375721145,5680.106532000609,0.006313655804128075,232.02241797040756,1741183201,GANESHA
5tggfRUa5QqZbb3V4JGyRoJY9EkLN3yZVyc4GSyYoyH5,8,deathOS,6334.451602341118,5.3480962718908485,6334.451602341118,996,https://bafkreibisvzvhrhwmoc76j65rqnrhqbdkrlqzvowqripyrdy2vbnkufymi.ipfs.nftstorage.link,-39.50045415311196,3438.585910913431,5.795831619632425e-06,83.4505925102541,1741183201,DEATHOS
Hovo4S9TMhb793Ng6XzMauSQfe8H1uQPLVnBy3jDpump,6,Yolo Trade Zone,214153.01556319598,3.2379571742970312,214153.01556319598,995,https://ipfs.io/ipfs/QmahKeWaCqehEZFvprKL5CDdRoQumzbuNbgFSkgG7BU78J,-35.92009581319064,60166.221122395524,0.00021548643249558346,3519.673970681417,1741183201,YOLO
2q8Y8rubbsaaA3faq8Ytsk382JXgtKdn23qjNXhSpump,6,ROSS ULBRICHT FUND,409313.42866601277,15.099972068338863,409313.42866601277,994,https://ipfs.io/ipfs/QmaU3tJxdq7m1BdZT5q5cNKnVXxjr599aMTkZfLRxgcJB7,-68.08626766484534,118923.30127944543,0.00040935840263703273,2092.37319050978,1741183201,ROSS
DtzhY98YeCqAsJgTPq4osGP4uhZZU6xLFwSGNbzAs142,9,AiDS,129033.56136955527,-3.6157504566175227,129033.56136955527,993,https://images.boxoffice.meme/images/aids.jpg,27.581129729088143,53093.53662061626,0.23250239663468703,9087.798009831102,1741183201,AIDS
AxaTJdRuuc3626FtPWdQCMcWPH6yzgxXKWbFCZN3TMgy,9,Asvoria,90281693.40796453,-1.0820941474264494,90281693.40796453,992,https://bafybeiap2jgce7xki7m6ei2ctkkdwczxgllo3gnueia63c6aipbka3opmu.ipfs.nftstorage.link/asvoria.png,-37.82312686659086,395715.4347614166,0.11285221699886223,27126.11255815855,1741183201,ASV
2aWos2YsA6YjN5DHX77diRUx7SKMg7H1U8hqL2N1iy5o,8,Grafete,930873.3041032527,10.699657870185666,930873.3041032527,991,https://gateway.pinata.cloud/ipfs/QmUNP8z8XbTquwEQRsFsvMkYd4f3Pvf3tsJ4JAuN6YK113,-53.85165541616813,72712.23883400412,0.0009309543037848584,11331.990054396181,1741183201,GRFT
