address,symbol,volume24hUSD,price,fdv,volume24hChangePercent,logoURI,liquidity,rank,marketcap,ts,price24hChangePercent,name,decimals
HFw81sUUPBkNF5tKDanV8VCYTfVY4XbrEEPiwzyypump,DUCKAI,19967.076880525317,0.0008005878167280494,800530.8536893079,-3.164468899516801,https://ipfs.io/ipfs/QmZqMneqDQ6dkFSq7SHtWtcT8BaBLoupQUksxsS4UTsnyD,134994.8720920836,1000,800530.8536893079,1740751201,11.228612311390396,Duck AI,6
Crn5DBCmEfMTCE5Z4BCJDhPymiVXGGZt4bJpzXBcpump,GREED3,16743.400343464247,4.3220675134898585e-06,4322.0651889942765,,https://ipfs.io/ipfs/QmPgoZW2e4SXnKq1yN2DywE5hGB2L2XxEHqoqKAeePnHcT,4307.950979836157,999,4322.0651889942765,1740751201,3.998317447714985,GREED3,6
84FhSgZexvSf2pjGGRSiAWtvJJHZcS6VVrXhJmqYmidx,KOIAI,2815.3576735513725,0.0008565508761791165,856550.8596340826,-0.6126735926023643,https://copper-subjective-canid-574.mypinata.cloud/ipfs/QmYRe9YrFiqfacVnqX5AWkhqCQPqCht8iyDA5Q1zXTfSMe,44385.113533905205,998,856550.8596340826,1740751201,-1.3009980997806523,KOIAI,6
ABDoiSudvFjjJ25rtXn8V2b6QGrH59KN6thAbsPvpump,suwi,7502.157956886202,0.00023637186556407384,236364.44025365502,172.5070325517738,https://ipfs.io/ipfs/Qmc1XXuW5E3Qrjoqv21ARcdFDF5e5hsQzrGaC5so8M1Gfx,105909.66473414843,997,236364.44025365502,1740751201,0.397524425039541,suwi,6
FCgsHQKqxY982x7FtMJ2uvphfNf74vnyqbYodb1Fmoon,OTC,5338.552019746033,,19440.221883965405,-72.4508324378784,https://cdn.dexscreener.com/cms/images/B1f-USp-BW9ID2CN,13020.17063870019,996,19440.221883965405,1740751201,,Official Trump Card $OTC,9
HxhWkVpk5NS4Ltg5nij2G671CKXFRKPK8vy271Ub4uEK,HXRO,3016.586948038357,0.005088819060391252,3531583.409497317,-37.33228735401492,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/HxhWkVpk5NS4Ltg5nij2G671CKXFRKPK8vy271Ub4uEK/logo.png,44815.58832433192,995,3531583.409497317,1740751201,-9.566985069712901,Hxro (Wormhole),8
3J78QvUMChndp5q6ocXKqSofZWXBw4cJHhsaNuL5pump,SHOOT,65860.79952144386,1.0801118673983848e-05,10801.118673855768,89.89834762775398,https://ipfs.io/ipfs/QmRKj5sbxFmc8w23JYLapZCybef3LzpZHocUmfryArfyFY,8918.576156379653,994,10801.118673855768,1740751201,8.732499952281904,they say shooters shoot,6
24KWXRNGbBYjxuMt6xYsFqLhiVeToCr3Fei98QSWpump,KAIREN,14504.94727362629,0.0005554021898623766,555401.8957539217,,https://gateway.irys.xyz/iXVFaEipKlIukuvQN5IjQN_nxnnKPuV0JAGQb7Xc9RI,34724.57540975971,993,555401.8957539217,1740751201,1011.8210828745405,KAIREN,6
6YBNt17aVhjLacxpiccowf4JD5DQjjDZEFCmt44fpump,AGE,29573.59327551171,1.0317215562520212e-05,10317.21556247722,,https://ipfs.io/ipfs/QmPHVX3kesPtCoR4ey2Rt6dEYZECDS8bPT7S3GwiPwGPUd,8612.114618734244,992,10317.21556247722,1740751201,111.74370125420427,Age Of Wealth,6
AZESyDfixoA4Ce2hW7vLJ9CUQaFA1NGCVWyYxvcJyDEM,swh,6363.562887562706,5.616635437018899e-06,5616.635437018894,,https://ipfs.io/ipfs/QmZtirWzG484R7gFPsNZTiCwmngggago2HLLc1qdXgx5dG,5497.614073320041,991,5616.635437018894,1740751201,21.567176638016036,skype wif hat,6
q2P3Toi1hzfdwPkZa1pM5QHt3wKnPSrtmpfkAmQpump,Swastika,8086.936775622256,0.0011666617769300178,241382.32164682067,,https://arweave.net/Y9uKmE7D1x3xfzSmLlQGJ2czI7XZiOHYi2ctCv-DufU,452585.7437858662,990,241382.32164682067,1740751201,8.550308920885882,Nazi Kanye West,9
