liquidity,name,fdv,decimals,price24hChangePercent,ts,marketcap,volume24hChangePercent,volume24hUSD,rank,logoURI,price,address,symbol
314475.7377296471,Solana ID,8715806.992853163,9,1.259816866503409,1740924002,8715806.992853163,-52.7039481484116,4662.185537877027,1000,https://arweave.net/DoW2h0aZyuFn-riGH_2LwXl-CX9qEnPbV3pKpA6nGsg,0.008715812027646383,SoLiDMWBct5TurG1LNcocemBK7QmTn4P33GSrRrcd2n,SOLID
285161.60112875624,KOALA AI,5980375.290529384,6,5.385833088103273,1740924002,5980375.290529384,-26.406789762942445,12403.12960291509,999,https://bafkreiclwey3of4ceeskastusikjw73ybmtddrvsky5jxaspusaxjhtyuy.ipfs.nftstorage.link,6.012300975891996e-07,FsA54yL49WKs7rWoGv9sUcbSGWCWV756jTD349e6H2yW,KOKO
36210.99696873095,First Crypto President,38726.81902170588,6,16.22898034061968,1740924002,38726.81902170588,-40.122502726155304,11256.60017047589,998,https://ipfs.io/ipfs/QmduNi1kYsDsqXzxz7KvwazETeMuD1nAiXjUgqaQdczke9,3.875602713674697e-05,ix6yKSNAFZwxAigWDnYcCNW5kqUAgSmVwysx1MKpump,FCP
3966.3018033161293,1st pump ,3968.3811633173655,6,-9.791012952619482,1740924002,3968.3811633173655,,4326.65452947321,997,https://ipfs.io/ipfs/QmaXiyjRXFUavwdtZtsa1RNDWL3pFLdbZ9hmBSngndFdE4,3.968381163323421e-06,VFxx5w5M1ASfAS7E1BQ5SGdc2WibBEnGs92qcbgpump,First 
14144.920690910527,Built on NOTHING,20103.85467429926,6,25.3493841430723,1740924002,20103.85467429926,420.3425690731376,5150.486645069334,996,https://ipfs.io/ipfs/Qmb6npBqXzADMxZQVXFm747oRPyDGUuTXZnrAGWgKkiCun,2.0116589153723286e-05,2g1Dh2j9AsdpnR5Js24cdtuUEE3KQD1YpHG8NgQ2pump,BON
549388.7196349648,Diamonds Group,5669012.892202749,6,-4.638963400034363,1740924002,5669012.892202749,44.463919787021446,43047.61890334491,995,https://imgur.fotofolio.xyz/?w=128&h=128&default=1&url=https%3A%2F%2Fimgur.fotofolio.xyz%2F%3Fw%3D128%26h%3D128%26default%3D1%26url%3Dhttps%253A%252F%252Fimgur.fotofolio.xyz%252F%253Fw%253D128%2526h%253D128%2526default%253D1%2526url%253Dhttps%25253A%25252F%25252Fi.imgur.com%25252F2tB5qiW.png,5.6690213259743545e-05,3cegQvfWj32SVViSRvYqeAxDxqqPAb4ud67EY75joMr5,DMNS
161318.45196161896,Ada,386379.20609518,9,-4.829778451925996,1740924002,386379.20609518,-94.52184851943204,5906.019786767145,994,https://gateway.irys.xyz/BFejxwOQrFxDnvG84t8kUf3PI_nCU3PEBrHBlu6g5ww,0.0003864494585622422,E4Q5pLaEiejwEQHcM9GeYSQfMyGy8DJ4bPWgeYthn24v,ADA
63172.80456479399,MAGA,93968.9863531951,6,19.649124388155446,1740924002,93968.9863531951,17.603377233148695,7020.203075903823,993,https://bafybeidjt2xhr3mf6th63lxwmdcwwfnwgxqiwdhbf4lsnrebkwfhgq2bte.ipfs.nftstorage.link,0.0020302752295799646,sfYDFZJguyF4YLZjje7qwwh41NRymFfZ3QXZbVm7Eyg,MAGA
16979.915170689586,ITS FINE,30117.269834895393,6,8.07227749088777,1740924002,30117.269834895393,-76.83558182482338,8996.729523457425,992,https://ipfs.io/ipfs/QmSBBXsqGVQ6qcD1xBxxJ1K1BF4afRJ6e7GQtAYCZP2fKY,3.0123236182131852e-05,8hAVBxKXmWCMUwwnfe3uvADbhdcmx4wfks3xzJfepump,IF
95182.43147496051,OFFICIAL BABY TRUMP,413182.5513799166,6,4.462854121334444,1740924002,413182.5513799166,-75.74481814118283,5797.819917761995,991,https://ipfs.io/ipfs/QmNQZBGVn6ZEoZPEGaEctn64GFcksEPhtzCrQkzqsmnNBP,0.0004132650267030169,caer1UmwhRsfFk5huGYkXcFmiL2tj4cyT7YjVxUpump,BTRUMP
170278.5742151405,FATGF,312826.16116984875,6,-0.6951782321385271,1740924002,312826.16116984875,-79.71925612870703,4717.174884277571,990,https://pump.mypinata.cloud/ipfs/Qmb9rkPpQBD21iySny2rn4yJTKbXkpSEsgGgG35amiEWfP,0.0003184957353889709,4y9E3tJpGNzRr1592oWTPECgyp2VDSc1Bf3DqAm5FZsK,FATGF
5573.708848081866,Trump Doge,5754.119705277389,6,7.322484034240122,1740924002,5754.119705277389,,3583.748352424499,989,https://ipfs.io/ipfs/QmUMXeTHUwxwXa2NAtDNQkHVeWtMkyBnC1aP7MwkaJ11dc,5.754119705277388e-06,5YYD5AW4eQeGUVP2RQEHCEtvupLCQy5Jo4dG7ZfBpump,TDOGE
76693545.83444175,Wall Street Pepe,240054089.05885777,9,-2.2437480068132927,1740924002,240054089.05885777,649865.5342851117,3115.731083546942,988,https://gateway.pinata.cloud/ipfs/QmSXU5CL225uGhPu7CBLzzC81Dku7LtWqWDyAja33K6SQ7,0.024005410659355565,3yVvZnrTRujfcy8NZR3w7kQrXTd815ioxVJrNaYkJCPA,WEPE
20815.125213906515,DeathpoolKat 2.0,43845.18205455997,9,,1740924002,43845.18205455997,-13.336185243379395,16923.6380541273,987,https://cdn.dexscreener.com/cms/images/JieFy7LKEamSGPbx,,2p8Z7GMosdVdUYWDq34Dm1ow5NXAUcYk6Gg62Mcsmoon,Dpk2
298942.0363595146,LOL,2218516.7496416755,6,0.27375975434551314,1740924002,2218516.7496416755,-49.48797076377317,10234.383230620639,986,https://pump.mypinata.cloud/ipfs/QmP6mGrPnfeNHeQxRmyPZHRpz3kAjdbtmHoivjJEM8CQKv,0.00226993389149782,LoL1RDQiUfifC2BX28xaef6r2G8ES8SEzgrzThJemMv,LOL
5059.632749736583,きろ,5136.52102103593,6,-8.986301176668482,1740924002,5136.52102103593,,5712.7565632328915,985,https://ipfs.io/ipfs/QmR9mBfukrh75mniF1xUC92MekWeH1UYkmqC4nT8ogSLpo,5.1365210210359606e-06,FKBEh8dmC5meYYHJsz83dJedVzdwYEybXbGs2nVpump,Kiro
