mint,name,symbol,description,image_uri,video_uri,metadata_uri,twitter,telegram,bonding_curve,associated_bonding_curve,creator,created_timestamp,raydium_pool,complete,virtual_sol_reserves,virtual_token_reserves,total_supply,website,show_name,king_of_the_hill_timestamp,market_cap,reply_count,last_reply,nsfw,market_id,inverted,is_currently_live,username,profile_image,usd_market_cap
3AM1zy4sX8TJWS23KpZ3m6nDnp2okcZYpP3MAn7spump,last hope,HOPE,,https://ipfs.io/ipfs/Qme96UVx2FDGidfQHKAV6NnUHqNvDmXRFrUE9yFtoyTcqn,,https://ipfs.io/ipfs/QmVWJf4k9F8QdRBS3uzGcPBwhfPkLZ4qE5M9otbc6uvzY5,https://x.com/lasthope_onsol,https://t.me/hope_on_sol,C8AFRU5ygCzN6R2hXFouy6KaB47PbiaDLZeQEPc62ei7,Gvz1QbK6JAH3HF3uawp567NwSZmP98YQgLdZq7MW1QiB,5qYu2vrXqEyTdJqST767NUhMyYXDH66VLJFKUeEgTdbj,1735577321542,,False,30737812793,1047244362454507,1000000000000000,https://t.me/hope_on_sol,True,1735580468000,29.351137036,152,1736266879382,False,,,False,,,7046.91449097324
H62RR5bqqv4J76W4Zp4CMq8dn5Yyb5Movwaei4EhBS3q,Dogecow,dogecow,Just a dogecow on the internet. ,https://cf-ipfs.com/ipfs/QmfD37vM4Hwtjjh3w94t7XyWmxdtFbTHxMTg8XXtFXAiVz,,https://cf-ipfs.com/ipfs/QmNaKiKBshxUDqN7Fa6qZZ5VjRuoVJhQhGf7czd4xXBjxB,,,BVzVN5Ttb8YKjtpqyhY4SAugenFTLqCYgoTD6pZjMPM1,JA41yJ1H2zymS4tVgsqi2SLPsttgoP1Bhast1ZkfU1g6,6CRjCyjejLXqWt6r11JZVR5RWwwCpqhgQRT5MdQpfMYT,1714278188192,JCaySiUPT2rn5ev6Vo6oXNW1yh3AeYkjfLmrncBv8K8u,True,115005359363,279900000000000,1000000000000000,,True,1714364257055,684,401,1737789405000,False,FNye4YpZsuHiqCTveUQU3MbLFGmFbUwYRAnW85crmsNp,True,False,Dogecow,https://cf-ipfs.com/ipfs/QmfD37vM4Hwtjjh3w94t7XyWmxdtFbTHxMTg8XXtFXAiVz,164221.56
7TR68CMwDvXsMKJFL7dyKH6Q4WLU5vJE7sLQHi8mpump,try not to get scared,creature,,https://ipfs.io/ipfs/QmXBFXb4bK84pgiXoRdYVFZJauLKfPFBQW79cdzvtLKFXu,,https://ipfs.io/ipfs/QmSGLiaRK5xnmshid51vSDAjHpBLt5gFzG52XigKzKk4Ca,,,GiniAk6E2dWBQGdwn2nuQZqXSryENc6t9n5e78BtCDwd,CdtVgLFQ27WtQKTYFvGYYcATrd5FA5Ms4AmGuTpegDF5,76uxf18ZfcW4At6WgnwUZ29GgGZqevFkGknDj2rtBLjf,1732695123632,,False,34367895840,936629945749971,1000000000000000,https://www.tiktok.com/@spookcatular/video/7432453054005382430?_r=1&_t=8rjpZOGEnRC,True,1733213502000,36.693142255,105,1736939241000,False,,,False,drunk_dev,,8809.65652400295
4C6VHPx43U4dtVjmaps8pCqCvKY8uzUhqNjW6HRupump,1 JANUARY,1JAN,1 JANUARY 2025 MAKE YOUR LIFE ,https://ipfs.io/ipfs/QmSFwDXMKqSi5M6EeNgq9pL1oxWHDU9H8SdGsMb9SweJG7,,https://ipfs.io/ipfs/QmPwhSt15BMmCF5khgotKh5tV3Vs3Y3NRoNCqTpi5DpvsE,,https://t.me/MoonHustlersVIP,8B3dugNrufR1e3c9QH9fT6vrTnW6XMpyvQojrViTmtMJ,6qM5Mr7gnh7rdSzYiWqKeaeYa9DocxSqvRHxLueitVVk,4CjDfCAXu8GJCTtXkPou1hQQ5MQqa1HsBsomM4J8Tzmb,1735743079645,,False,30009999690,1072642463752839,1000000000000000,,True,,27.977635329,15,1735885934427,False,,,False,,,6717.15046613961
BhtStHDexvsqX532j8akeERm4yaA7thJDdgapn3mpump,Donald ,DON ,A cute little sausage dog ,https://ipfs.io/ipfs/QmSURS15WYpp8os29X37d1QhrcvXzyFzkiPZykDFM3gvoj,,https://ipfs.io/ipfs/QmPAh4MPtvV7Yf96oWawPbgwdLSFgzGvZhW34UPpDBJdJK,,,JDg5kNPq94V9ah8M4SGJYoEcVvXjNZicTHFe9kRJaxDN,2mkD9kZj6RgmHnd4fRfnRy9y9zsRti5j5FhVKJgQq2Au,Dtq8vup5Yxh9bJiX9JWGzafxWXdCEUdfzhZC9UH5u3ed,1730899305730,,False,30027145247,1072029983554890,1000000000000000,,True,,28.009613264,17,1738254420000,False,,,False,LORD19,,6724.82804855376
qAnbCHg5GeDDko9tVktm7KRrDNAmSmd9LknKoXapump,Silent AI,5Y13N7,We are ready for Solana AI Hackathon!,https://ipfs.io/ipfs/QmSP6VsNfAUY1KGtcqa1RV7Nj6X6fBfa42oM7db8djziTG,,https://ipfs.io/ipfs/QmPw5EZ49NyG4mnb7CpiHxoPpDAG7GNbiEmJdbiTohyZU2,https://x.com/5Y13N7,,CWhLLvPuwargwAwVqJmLkuGCiKkL3uTPeVP8QDfEWW5N,K4SuVXCgZad8nrrCKvE1o6EEYpP9X1JtU3xM72z7fiv,9no2JJFLnpv3QfS1T7T5FoWnzH7CFXbPznNs8tkso4xc,1735438556733,,False,30103213619,1069321056370969,1000000000000000,https://www.5y13n7.com/,True,1735438591000,28.151707515,7,1735438573224,False,,,False,,,6758.0989060509
4Ja2pAZyxfDQQwf5yxiNJRiWngaAYqwrDHC8MasBpump,MrFrug,MrFrug,"Hi, I'm MrFrug let's flip 1 SOL to a mullion dullers!",https://ipfs.io/ipfs/Qmf91gMVtUiRTh8GHzoBhLzmvFa11oohsL3NBRGZnxHXdC,,https://ipfs.io/ipfs/QmYcEmvvsHNaHWzLqMKESvH6DD1GxNKGjm3ZcGxUy4r2hx,,,7GsVJWfPMu1wkEJ62GvKX9mCVtmhqrmyQQvKB4sgHqh1,ELv1Ygv33qt6V7NrtjSsfHhutJe6kgvByJ9egybz9458,A2CNtfWY4yJMPpUsMqYStY7hNEbj48c8AxWMVjZQRHhz,1733247289297,J3GYVyNmzEGsczZ5YsVGzbFYLS5dx9vDji7TrmDtXSAo,True,115005359203,279900000000000,1000000000000000,,True,1733321249000,29.62,79,1733354451731,False,9xw4d1EAcuoCbnAsoLrzuDzXUmJzxkZMNacPRm1a3RWZ,True,False,,,7110.577200000001
BA22z27e4L2Beh9C49ZWPQNcTKgnPxgyaWDCzpMgpump,Andy70b,Andy70b,https://x.com/andyayrey/status/1847155686876369261?s=46,https://ipfs.io/ipfs/Qmcjp6tZkweQp3Wpxw9i1EVrTjEdkiiSQuM5VsFNZiWvP8,,https://ipfs.io/ipfs/Qmf5w2M1AV93ybZfUmStPWNqaNoLuvBVuo2rXiK8kD7jBd,https://x.com/andyayrey/status/1847155686876369261?s=46,,9LZ2VkkKN6UvhV9xH9ZsA6TpvtoCZo58PMPvU9mT9jCY,Hse1JwG2emZj4nXVNrt1ZbJWXjTR8qhRpnxtyYsr9XjK,4G26CB3YnBKbQbM4SyXknb3ZwKcR2apFijADSSQsWEvJ,1729235040120,3oFvTmVvvKc364JtPY5vpdCaUjwzqCQF3KPhs8MwkA5V,True,115005360315,279900000000000,1000000000000000,https://x.com/andyayrey/status/1847155686876369261?s=46,True,1734096458000,29.38,39,1734123828288,False,FQtMwVP2AG9ERyXp8mNMebkmKsHHBVgX1CYBhrLmCX7V,True,False,4G26CB,,7074.1164
5dEJuEVxkbQu2GtrN59k2aTuMv2oEH4pjLcXHoPgpump,Israel Did 911,$MOSSAD,911 was a false flag Israeli Mossad operation Zionist scum scammed the American people into fighting in the Middle East Jewish supremacy will finally be vanquished  The goyim know. ,https://ipfs.io/ipfs/Qmd7bEsk54P6cJ7VKmpv2Q9M6e2kJVGtgyoDV4gbcTVXkW,,https://ipfs.io/ipfs/QmVhK7qFcDbgvqCwncm1CFyoNUTA137UytjPhvv67kuLUS,,https://t.me/Israel_Did_911,2e6CpeJBYAFyTrCVefJeyxFyeWPGDY13WhHfcEC6deY9,BxuFeFzwWTVEULMp7aUHtysDWFUiLCxd1VcJiebZhwM1,HXNN69hSU3iuiNgWDGv1n44sMzuQj9qmbq2YdDpEJH3G,1725145856564,6xgESgMtPrsrKuPHMUe42JJwYo9AWC1upHq56XK9Ga1k,True,115005359098,279900000000000,1000000000000000,,True,1725146272000,19.33,47,1725227825056,False,6Z9tUYyUGGhzyFQmYDNDuNhTTWojsAh7VZPf9mc4tchj,True,False,bustmaster,,4654.2774
BtZKrN2mk1oqZw4w8Utpqhp3D61H8qf6JfyW4e9Apump,JAKE ON SOL,JAKE,"Jake Token is here for fans of loyalty and laughter! Inspired by Jake, the magical dog and Finn’s loyal companion from Adventure Time, this token brings humor, adventure, and the spirit of friendship. Join the journey of magic and fun with the Jake community!",https://ipfs.io/ipfs/QmZKfNgoszJiy4cE1SxeE9UfpWPxmqFmxrvTw3GJiSPx5i,,https://ipfs.io/ipfs/QmeMhiibQotDtfx3R2u63xrPzecQn1cYf4MjCDPAqpHaEF,,,5VSsFrKQDJrfUxH8BnChCKrmyPPMxS4yG9gnLeStUwsD,CcW689wuXyY5EHMMzyx4i7nGeDFbYRBtXSJckZbysMr2,3WpRzFCqwuLQT7zpwWS39pj8p6ZuFJysAM4bbJVxbu49,1733556109491,825uHEGq6TPgdLb7HzVtav3fsugv3GfiKc7a1diK3cUP,True,115005359057,279900000000000,1000000000000000,https://jakeonsol.xyz/,True,1733556108000,30.390000000000004,70,1733577158803,False,4iakhJKDFMeeJfuse3oGYfuDWanFtDjmkHMoLM8dAmGR,True,False,,,7317.304200000001
